n,cnt,优化前,优化后,
50,4000,0.005418,0.005237,
100,2000,0.020484,0.018142,
150,1333,0.052190,0.042181,
200,1000,0.085399,0.069072,
250,800,0.140483,0.111491,
300,666,0.201244,0.160633,
350,571,0.270853,0.214827,
400,500,0.368904,0.284229,
450,444,0.484713,0.357340,
500,400,0.614049,0.438426,
550,363,0.887823,0.561035,
600,333,1.152742,0.683954,
650,307,1.360005,0.787526,
700,285,2.011644,0.930653,
750,266,2.358136,1.031490,
800,250,4.040325,1.235959,
850,235,4.054439,1.370145,
900,222,5.851421,1.545850,
950,210,3.930060,1.600490,
1000,200,4.835809,1.818366,
1050,190,7.487468,2.050708,
1100,181,9.319434,2.246314,
1150,173,10.580329,2.533852,
1200,166,11.855826,2.789120,
1250,160,12.395509,2.958051,
1300,153,13.336801,3.146239,
1350,148,14.698020,3.429607,
1400,142,15.921083,3.703013,
1450,137,17.600470,4.051914,
1500,133,18.560191,4.292941,
1550,129,20.176965,4.536271,
1600,125,21.363151,4.877345,
1650,121,22.596073,5.080383,
1700,117,24.219906,5.418810,
1750,114,26.026916,5.789487,
1800,111,27.456774,6.127008,
1850,108,28.680994,6.334877,
1900,105,30.114815,6.666153,
1950,102,32.347466,7.082443,
2000,100,34.182442,7.447290,
2050,97,35.792975,7.832808,
2100,95,37.115286,8.051747,
2150,93,38.951162,8.494839,
2200,90,42.334470,9.133161,
2250,88,43.988283,9.484356,
2300,86,45.196072,9.867124,
2350,85,47.436921,10.240176,
2400,83,51.840822,10.878725,
2450,81,52.444851,11.211616,
2500,80,53.850715,11.619326,
2550,78,55.759626,11.979250,
2600,76,59.672547,12.694729,
2650,75,60.418541,12.951535,
2700,74,62.742028,13.360703,
2750,72,68.113299,14.321700,
2800,71,74.185666,15.875538,
2850,70,69.724490,14.781930,
2900,68,72.228687,15.295193,
2950,67,76.624191,16.296261,
3000,66,76.120197,16.258967,
3050,65,79.542623,17.104042,
3100,64,84.724291,18.250280,
3150,63,85.512816,18.151713,
3200,62,91.600906,19.852406,
3250,61,96.486766,21.658633,
3300,60,94.373877,20.457750,
3350,59,97.460527,21.880320,
3400,58,99.675259,23.065290,
3450,57,100.813723,22.428633,
3500,57,103.858404,24.730030,
3550,56,104.331270,23.678911,
3600,55,106.343533,24.116740,
3650,54,108.725174,25.050650,
3700,54,110.161983,25.770687,
3750,53,112.693860,26.365664,
3800,52,116.085138,27.943758,
3850,51,117.468759,28.239022,
3900,51,123.021976,31.603486,
3950,50,125.117614,31.474208,
4000,50,136.724928,32.726624,
4050,49,130.338392,33.399204,
4100,48,129.737608,32.789415,
4150,48,132.270390,34.079538,
4200,47,135.859785,35.480455,
4250,47,137.570353,36.648617,
4300,46,141.785448,37.216361,
4350,45,145.749549,37.159627,
4400,45,149.966767,39.492673,
4450,44,150.025166,39.441111,
4500,44,156.889341,43.561377,
4550,43,158.145872,43.051902,
4600,43,162.652130,46.169037,
4650,43,163.168760,45.442714,
4700,42,168.283929,47.159512,
4750,42,167.998945,48.092381,
4800,41,195.063310,48.613827,
4850,41,175.071268,51.740546,
4900,40,178.622052,53.096587,
4950,40,213.141877,44.221443,
5000,40,217.975658,46.122113,
