n,cnt,优化前,优化后,
50,4000,0.006747,0.006139,
100,2000,0.023899,0.020111,
150,1333,0.055458,0.043402,
200,1000,0.114692,0.091572,
250,800,0.161276,0.129034,
300,666,0.236060,0.186451,
350,571,0.373958,0.291696,
400,500,0.551574,0.417182,
450,444,0.720463,0.530417,
500,400,0.990524,0.689867,
550,363,1.180011,0.816439,
600,333,1.349033,0.936276,
650,307,1.658204,1.094380,
700,285,1.654469,1.113599,
750,266,1.832133,1.323771,
800,250,2.660467,1.719148,
850,235,2.275993,1.487159,
900,222,2.981124,1.948457,
950,210,3.260630,2.099207,
1000,200,3.617991,2.424461,
1050,190,3.990209,2.554976,
1100,181,4.984681,3.278347,
1150,173,5.423321,3.306219,
1200,166,5.967854,3.333874,
1250,160,7.943158,4.677668,
1300,153,7.634668,4.401480,
1350,148,8.430653,4.871893,
1400,142,9.438782,5.405509,
1450,137,11.144301,6.648984,
1500,133,12.113154,6.860753,
1550,129,12.757613,7.224933,
1600,125,14.255461,8.175732,
1650,121,15.687444,8.887486,
1700,117,16.414871,9.001950,
1750,114,17.474779,9.744960,
1800,111,18.515089,10.012065,
1850,108,20.135556,11.169532,
1900,105,22.610419,12.109218,
1950,102,23.052905,12.150971,
2000,100,24.488608,13.007481,
2050,97,26.656519,14.676619,
2100,95,27.703679,14.867473,
2150,93,28.681692,14.856793,
2200,90,31.473988,16.298410,
2250,88,32.340128,17.061489,
2300,86,33.845943,17.382268,
2350,85,34.955962,17.854861,
2400,83,36.675553,18.429907,
2450,81,40.276094,21.148793,
2500,80,41.076228,20.915539,
2550,78,42.390148,21.089051,
2600,76,44.125345,21.999345,
2650,75,48.083842,25.292242,
2700,74,49.994831,25.906178,
2750,72,49.898692,24.734714,
2800,71,53.884853,26.566453,
2850,70,56.519200,28.481678,
2900,68,58.854995,29.286438,
2950,67,58.807845,29.605678,
3000,66,61.252172,29.931753,
3050,65,63.032403,30.874835,
3100,64,65.560800,31.523494,
3150,63,67.875631,33.499873,
3200,62,69.784398,34.368712,
3250,61,74.611948,36.331187,
3300,60,75.504062,37.443571,
3350,59,77.747945,36.280155,
3400,58,80.313310,37.611338,
3450,57,84.284524,41.438616,
3500,57,84.870848,40.130580,
3550,56,87.957138,40.881731,
3600,55,93.847236,45.573556,
3650,54,93.582715,45.099317,
3700,54,95.089252,46.020148,
3750,53,97.938547,47.808032,
3800,52,101.067985,47.226192,
3850,51,103.864889,48.541502,
3900,51,106.672862,49.717487,
3950,50,112.204385,53.655570,
4000,50,117.356893,56.086708,
4050,49,118.444964,56.654268,
4100,48,123.223774,60.036064,
4150,48,130.913407,65.006439,
4200,47,129.110999,62.094689,
4250,47,134.330214,65.064119,
4300,46,134.806438,64.841182,
4350,45,143.992022,71.076365,
4400,45,146.848207,70.707901,
4450,44,144.180648,68.572978,
4500,44,145.534342,66.398912,
4550,43,154.421050,73.890583,
4600,43,160.229622,74.916575,
4650,43,161.745424,77.648337,
4700,42,165.213922,78.955241,
4750,42,170.151007,80.093998,
4800,41,182.894743,86.735186,
4850,41,177.971496,83.686135,
4900,40,185.812654,88.700621,
4950,40,193.784399,94.728056,
5000,40,202.804600,94.936317,
