n,cnt,优化�?优化1,优化2,
5,62500005,0.000072,0.000046,0.000144
6,31250006,0.000121,0.000077,0.000211
7,15625007,0.000206,0.000119,0.000332
8,7812508,0.000393,0.000205,0.000555
9,3906259,0.000797,0.000387,0.001043
10,1953135,0.001592,0.000772,0.002043
11,976573,0.003249,0.00146,0.003858
12,488293,0.006574,0.002987,0.007714
13,244153,0.012115,0.006371,0.016054
14,122084,0.024592,0.012691,0.032572
15,61050,0.053354,0.030236,0.082767
16,30533,0.106538,0.05972,0.160669
17,15275,0.22161,0.1314,0.363093
18,7647,0.455725,0.292004,0.849508
19,3833,0.927689,0.603814,1.879969
20,1927,1.899596,1.235869,4.031651
21,974,3.958789,2.866947,9.479477
22,498,7.984988,5.985942,18.981035
23,261,16.463296,12.314436,40.468538
24,143,32.699241,24.570313,82.62353
25,84,66.199754,49.518435,169.670072
26,55,130.3796975,96.80644044,325.315011
