n,平台,x86 linux,,"优化率
(优化前-优化后)/优化前",arm64 linux,,"优化率
(优化前-优化后)/优化前",x86 windows,,"优化率
(优化前-优化后)/优化前"
,编译命令,clang++ -pthread -o Ia Ia.cpp,,,aarch64-linux-gnu-g++ -static -o Ia -march=armv8.2-a Ia.cpp,,,g++ -o Ia Ia.cpp(mingw),,
,重复次数,平凡算法,cache优化算法,,平凡算法,cache优化算法,,平凡算法,cache优化算法,
,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,,平均时间/ms,平均时间/ms,
50,4000,0.006747,0.006139,9.01%,0.020028,0.01979,1.19%,0.005418,0.005237,3.34%
100,2000,0.023899,0.020111,15.85%,0.087326,0.081652,6.50%,0.020484,0.018142,11.43%
150,1333,0.055458,0.043402,21.74%,0.226428,0.210988,6.82%,0.05219,0.042181,19.18%
200,1000,0.114692,0.091572,20.16%,0.431131,0.398467,7.58%,0.085399,0.069072,19.12%
250,800,0.161276,0.129034,19.99%,0.619407,0.569081,8.12%,0.140483,0.111491,20.64%
300,666,0.23606,0.186451,21.02%,1.009841,0.914406,9.45%,0.201244,0.160633,20.18%
350,571,0.373958,0.291696,22.00%,1.223482,1.11804,8.62%,0.270853,0.214827,20.69%
400,500,0.551574,0.417182,24.37%,1.799418,1.589597,11.66%,0.368904,0.284229,22.95%
450,444,0.720463,0.530417,26.38%,2.254705,1.939552,13.98%,0.484713,0.35734,26.28%
500,400,0.990524,0.689867,30.35%,2.909631,2.49094,14.39%,0.614049,0.438426,28.60%
550,363,1.180011,0.816439,30.81%,3.54391,2.969361,16.21%,0.887823,0.561035,36.81%
600,333,1.349033,0.936276,30.60%,4.304229,3.684846,14.39%,1.152742,0.683954,40.67%
650,307,1.658204,1.09438,34.00%,5.194803,4.32723,16.70%,1.360005,0.787526,42.09%
700,285,1.654469,1.113599,32.69%,6.39925,5.429312,15.16%,2.011644,0.930653,53.74%
750,266,1.832133,1.323771,27.75%,7.322316,6.174124,15.68%,2.358136,1.03149,56.26%
800,250,2.660467,1.719148,35.38%,7.444789,6.193108,16.81%,4.040325,1.235959,69.41%
850,235,2.275993,1.487159,34.66%,8.739244,7.322122,16.22%,4.054439,1.370145,66.21%
900,222,2.981124,1.948457,34.64%,10.702217,9.05844,15.36%,5.851421,1.54585,73.58%
950,210,3.26063,2.099207,35.62%,11.36074,9.584565,15.63%,3.93006,1.60049,59.28%
1000,200,3.617991,2.424461,32.99%,11.689093,9.526691,18.50%,4.835809,1.818366,62.40%
1050,190,3.990209,2.554976,35.97%,13.749598,11.295722,17.85%,7.487468,2.050708,72.61%
1100,181,4.984681,3.278347,34.23%,15.577216,12.821147,17.69%,9.319434,2.246314,75.90%
1150,173,5.423321,3.306219,39.04%,17.790813,14.908874,16.20%,10.580329,2.533852,76.05%
1200,166,5.967854,3.333874,44.14%,18.712053,15.15417,19.01%,11.855826,2.78912,76.47%
1250,160,7.943158,4.677668,41.11%,19.926996,16.078986,19.31%,12.395509,2.958051,76.14%
1300,153,7.634668,4.40148,42.35%,21.479461,17.270157,19.60%,13.336801,3.146239,76.41%
1350,148,8.430653,4.871893,42.21%,25.188696,20.374395,19.11%,14.69802,3.429607,76.67%
1400,142,9.438782,5.405509,42.73%,24.720164,19.303016,21.91%,15.921083,3.703013,76.74%
1450,137,11.144301,6.648984,40.34%,27.200404,20.508822,24.60%,17.60047,4.051914,76.98%
1500,133,12.113154,6.860753,43.36%,30.996336,24.08161,22.31%,18.560191,4.292941,76.87%
1550,129,12.757613,7.224933,43.37%,32.074072,23.392275,27.07%,20.176965,4.536271,77.52%
1600,125,14.255461,8.175732,42.65%,34.301767,26.181715,23.67%,21.363151,4.877345,77.17%
1650,121,15.687444,8.887486,43.35%,36.791795,26.200016,28.79%,22.596073,5.080383,77.52%
1700,117,16.414871,9.00195,45.16%,39.965658,28.856915,27.80%,24.219906,5.41881,77.63%
1750,114,17.474779,9.74496,44.23%,43.342016,32.412727,25.22%,26.026916,5.789487,77.76%
1800,111,18.515089,10.012065,45.92%,46.230929,33.540949,27.45%,27.456774,6.127008,77.68%
1850,108,20.135556,11.169532,44.53%,49.018298,35.671909,27.23%,28.680994,6.334877,77.91%
1900,105,22.610419,12.109218,46.44%,51.927478,36.906304,28.93%,30.114815,6.666153,77.86%
1950,102,23.052905,12.150971,47.29%,55.147266,38.454083,30.27%,32.347466,7.082443,78.11%
2000,100,24.488608,13.007481,46.88%,58.948818,41.307003,29.93%,34.182442,7.44729,78.21%
2050,97,26.656519,14.676619,44.94%,62.232012,42.200252,32.19%,35.792975,7.832808,78.12%
2100,95,27.703679,14.867473,46.33%,65.128602,43.105912,33.81%,37.115286,8.051747,78.31%
2150,93,28.681692,14.856793,48.20%,74.926239,49.267849,34.24%,38.951162,8.494839,78.19%
2200,90,31.473988,16.29841,48.22%,72.151754,47.587093,34.05%,42.33447,9.133161,78.43%
